CLAIM NO,EMPLOYER NAME,EMPLOYER CITY,ST,ZIP,INDUSTRY,INDUSTRY (IF OTHER),SOURCE (URL),NOTES
LLVA61279,RED'S HOME IMPROVEMENTS LLC,NORFOLK,VA,23503,,,,
LLVA61280,WILLIAMS HOME AND LAND CARE,NORFOLK,VA,23503,,,,
LLVA61281,DENETH OFICINA,NA,NA,NA,,,,
LLVA61282,LOWE'S,MORRISVILLE,NC,28117,,,,
LLVA61283,RICK'S STOP AND  SHOP,QUINTON,VA,23141,,,,
LLVA61284,OSMAN YAZGAN,HERNDON,VA,20170,,,,
LLVA61285,EDIBLE ARRANGEMENTS,COLONIAL HEIGHTS,VA,23834,,,,
LLVA61286,COLONNA'S SHIPYARD,NORFOLK,VA,23523,,,,
LLVA61287,RICHMOND EXPRESS COURIER SERVICE,RICHMOND,VA,23218,,,,
LLVA61288,GREENCORE,FREDERICKSBURG,VA,22406,,,,
LLVA61289,MASSAGE LUXE,VIRGINIA BEACH,VA,23462,,,,
LLVA61290,SWAY TAP HOUSE AND GRILL,CORZET,VA,22932,,,,
LLVA61291,ADECCO,ALEXANDRIA,VA,22314,,,,
LLVA61292,HOUSE OF MAYA BRIDAL,NORFOLK,VA,23510,,,,
LLVA61293,BMC GROUP,MANASSAS,VA,22109,,,,
LLVA61294,MEDICAL TEAM,RESTON,VA,20191,,,,
LLVA61295,CHESAPEAKE BAY STEEL INC,NORFOLK,VA,23504,,,,
LLVA61296,BAY CRAWLSPACE SOLUTIONS,VIRGINIA BEACH,VA,23462,,,,
LLVA61297,"LEE, BAE WON COLOR MATCH",FAIRFAX,VA,22033,,,,
LLVA61298,"WITCHDUCK DEVELOPMENT, INC.",VIRGINIA BEACH,VA,23462,,,,
LLVA61299,LOWE'S,NA,NA,NA,,,,
LLVA61300,HOUSE OF MAYA BRIDAL,NORFOLK,VA,23510,,,,
LLVA61301,MAN-PACK LLC,FRONT ROYAL,VA,22630,,,,
LLVA61302,SUNSHINE HOME HEALTHCARE,ALEXANDRIA,VA,22312,,,,
LLVA61303,CIVITAS HEALTH SERVICES INC,HENRICO,VA,23231,,,,
LLVA61304,CIVITAS HEALTH SERVICES,RICHMOND,VA,23231,,,,
LLVA61305,OBAUGH CHEVORLET BUICK,WAYNESBORO,VA,22980,,,,
LLVA61306,STEVE HOOD,MOSELY,VA,23120,,,,
LLVA61307,TRIWIRE ENGINEERING SOLUTIONS,RICHMOMD,VA,23225,,,,
LLVA61308,MOUNTAIN VALLEY CONSTRUCTION,BROADWAY,VA,22815,,,,
LLVA61309,VIRGINIA STAFFING CHOICE,CHARLOTTESVILLE,VA,22903,,,,
LLVA61310,HOUSE OF MAYA BRIDAL,NORFOLK,VA,23510,,,,
LLVA61311,ANTYWONE WILSON,RICHMOND,VA,23237,,,,
LLVA61312,TRI TECH SERVICES,HOPEWELL,VA,23860,,,,
LLVA61313,ROK & ASSOCIATES,WILLIAMSBURG,VA,23187,,,,
LLVA61314,TOOTH JOURNEY,GLEN ALLEN,VA,23060,,,,
LLVA61315,DENETH OFICINA,NA,NA,NA,,,,
LLVA61316,STEVE HOOD,MOSELEY,VA,23120,,,,
LLVA61317,PIZZA HUT,PETERSBURG,VA,23805,,,,
LLVA61319,LAWN LORD LLC,PORTSMOUTH,VA,23701,,,,
LLVA61320,RICHMOND VIRGINIA FIRE POLICE CREDIT UNION INC,RICHMOND,VA,23220,,,,
LLVA61321,"RISING SON TRANSPORT, LLC",NA,NA,NA,,,,
LLVA61322,JON MICHAELS FOR HAIR,SPOTSYLVANIA,VA,22551,,,,
LLVA61323,MCCROSKEY CONSTRUCTION,SANDSTON,VA,23150,,,,
LLVA61324,TAPSCOTT BROTHERS TRUCKING COMPANY,SCOTTSVILLE,VA,24590,,,,
LLVA61325,BOBBY PINS & BLUSH,FREDERICKSBURG,VA,22401,,,,
LLVA61326,VIRGINIA DENTAL LABORATORY,GREAT FALLS,VA,22066,,,,
LLVA61327,GREATER PRINCE WILLIAM COMMUNITY HEALTH CENTER,WOODBRIDGE,VA,22192,,,,
LLVA61328,WESTON EXTERMINATING INC,VIRGINIA BEACH,VA,23454,,,,
LLVA61329,BROUTE'S INC,FREDERICKSBURG,VA,22408,,,,
LLVA61330,EMERSON & CLEMENTS,NA,NA,NA,,,,
LLVA61331,ATZ LOGISTICS,PORTSMOUTH,VA,23702,,,,
LLVA61332,PHOENIX TECH SERVICES,CHANTILLY,VA,20151,,,,
LLVA61333,LEIGH TAYLOR SERVICES,KITTY HAWK,NC,27949,,,,
LLVA61334,HOUSE OF MAYA,NORFOLK,VA,23510,,,,
LLVA61335,BLAKE JENKINS,VIRGINIA BEACH,VA,23462,,,,
LLVA61336,HYATT LEADER LTD,NEW YORK,NY,10017,,,,
LLVA61337,DISTRICT MUSIC ACADEMY,RESTON,VA,20109,,,,
LLVA61338,THE BIG SCREEN STORE,VIENNA,VA,22182,,,,
LLVA61339,KHRISTINA MILLER,BROADWAY,VA,22815,,,,
LLVA61340,IBEX GLOBAL,HAMPTON,VA,23663,,,,
LLVA61341,EDIBLE ARRANGEMENTS,COLONIAL HEIGHTS,VA,23834,,,,
LLVA61343,BRILLIANT BEGINNINGS LEARNING CENTER,VIRGINIA BEACH,VA,23452,,,,
LLVA61344,FIRST CLASS CONTRACTING,RICHMOND,VA,23224,,,,
LLVA61345,WORDS INC,HENRICO,VA,23228,,,,
LLVA61346,ENTERPRISE BUSINESS SOLUTIONS,FALLS CHURCH,VA,22043,,,,
LLVA61347,DAVIS PAIGE MANAGEMENT SYSTEMS LLC,ANNANDALE,VA,22003,,,,
LLVA61348,HOME IS WHERE THE HEART IS,NORTH CHESTERFIELD,VA,23234,,,,
LLVA61349,MILLETTE KESKE,VIRGINIA BEACH,VA,23454,,,,
LLVA61350,DUNN RITE AUTO GROUP,KILMARNOCK,VA,22482,,,,
LLVA61351,UNITED FAMILY SERVICES LLC,RICHMOND,VA,23235,,,,
LLVA61352,JENESYS HOME HEALTHCARE SERVICES INC,CHESAPEAKE,VA,23320,,,,
LLVA61353,HERITAGE ON MAIN STREET,WAYNESBORO,VA,24401,,,,
LLVA61354,RM WELDING AND INSTALLATION LLC,BELTSVILLE,MD,20705,,,,
LLVA61355,JOSEPHINA LAC,GLEN ALLEN,VA,23060,,,,
LLVA61356,G4S SECURITY SOLUTIONS,JUPITER,FL,33458,,,,
LLVA61357,NOLAN WILLIAMS,NORFOLK,VA,23502,,,,
LLVA61358,JOSHUA WALKER,NORFOLK,VA,23503,,,,
LLVA61359,YES KIDS COUNT,CHESTER,VA,23831,,,,
LLVA61360,JACKSON'S BEER GARDEN & SMOKEHOUSE,RICHMOND,VA,23219,,,,
LLVA61361,SKYLINE WELLNESS CENTER,ALEXANDROA,VA,22302,,,,
LLVA61362,YES KIDS COUNT LLC,CHESTER,VA,23831,,,,
LLVA61363,SECURITAS,ROANOKE,VA,24018,,,,
LLVA61364,LUGAR LAW,ROANOKE,VA,24011,,,,
LLVA61365,TAREN MCCOY,SALEM,VA,NA,,,,
LLVA61366,KAPUSABA LLC,SOUTH RIDING,VA,20152,,,,
LLVA61368,FOR HIS GLORY TRUCKING,SUFFOLK,VA,23434,,,,
LLVA61369,EILEEN'S BAKERY,FREDERICKSBURG,VA,22401,,,,
LLVA61370,MASSAGE HEIGHTS,ALEXANDRIA,VA,22302,,,,
LLVA61371,CORNERSTONE ARCHITECHS,RICHMOND,VA,23220,,,,
LLVA61372,SAS RETAIL MERCHANDISING,ORANGE,CA,92867,,,,
LLVA61373,TRITECH SERVICES,HOPEWELL,VA,23860,,,,
LLVA61375,"KR ENTERPRISES, INC. AND ITS SUCCESSORS",MARTINSVILLE,VA,24112,,,,
LLVA61376,VIRGINIA DENTAL LABORATORY,GREAT FALLS,VA,22066,,,,
LLVA61377,AGAPE ADULT DAY HEALTHCARE CENTER,ALEXANDRIA,VA,22312,,,,
LLVA61379,WENDELL BARCO PLASTERING,CHESAPEAKE,VA,23321,,,,
LLVA61380,SPEEDWAY LLC,ENON,OH,45323,,,,
LLVA61381,NXGEN COMMUNICATIONS,VIENNA,VA,22182,,,,
LLVA61382,CHESAPEAKE COATING AND DECKS INC,NORFOLK,VA,23523,,,,
LLVA61383,DIG-N-IT UNDERGROUND,NEWPORT NEWS,VA,23602,,,,
LLVA61384,E.E. WINE INC,MANASSAS,VA,20110,,,,
LLVA61385,PREFERRED SERVICE LLC,HIGH POINT,NC,27263,,,,
LLVA61386,WARRENTON TOYOTA,WARRENTON,VA,20187,,,,
LLVA61387,QUALITY SERVICES MOVING INC,LORTON,VA,22079,,,,
LLVA61388,RAINBOW INTERNATIONAL,LORTON,VA,22079,,,,
LLVA61390,FIRST COAST SECURITY,CHANTILLY,VA,20151,,,,
LLVA61392,AMIR FOROZ,GREAT FALLS,VA,22066,,,,
LLVA61393,PRECISE AUTO CARE LLC,NORFOLK,VA,23518,,,,
LLVA61394,CASTIGLIAS ITALIAN RESTAURANT,FREDERICKSBURG,VA,22407,,,,
LLVA61395,HAPPY COFFEE,BEDFORD,VA,24523,,,,
LLVA61396,FIRST COAST SECURITY,STERLING,VA,20166,,,,
LLVA61397,BRIDGING THE GAP FAMILY SERVICES,MANASSAS,VA,20109,,,,
LLVA61398,LOUNDOUN GYMNASTICS CENTER,STERLING,VA,20166,,,,
LLVA61399,RECOVERY TREK LLC,NORFOLK,VA,23510,,,,
LLVA61400,EDIBLE ARRANGEMENTS,WILLIAMSBURG,VA,23188,,,,
LLVA61401,NATURAL PLAYGROUNDS,CONCORD,NH,3301,,,,
LLVA61402,COUNTS AND DOBYNS,RUSTBURGH,VA,24588,,,,
LLVA61404,PHOENIX INTERNATIONAL ENTERPRISE INC,ORLANDO,FL,23819,,,,
LLVA61405,GLOBAL SECURITY ASSOCIATES,DULLES,VA,20166,,,,
LLVA61406,PRODUCE SOURCE PARTNERS,ASHLAND,VA,23005,,,,
LLVA61407,RETAIL GROUP OF AMERICA,NEW YORK,NY,10001,,,,
LLVA61409,MIDDLEBURG ACADEMY,MIDDLEBURG,VA,20117,,,,
LLVA61410,DIVERSE BUILDING ASSOCIATE,NORFOLK,VA,23508,,,,
LLVA61413,HOLIDAY TRAVEL PARK,VIRGINIA BEACH,VA,23451,,,,
LLVA61414,JACKSON'S BEER GARDEN AND SMOKEHOUSE,RICHMOND,VA,23219,,,,
LLVA61415,BMW OF STERLING,STERLING,VA,20166,,,,
LLVA61416,SAN-J INTERNATIONAL,RICHMOND,VA,23231,,,,
LLVA61417,EDIBLE ARRANGEMENTS,WILLIAMSBURG,VA,23185,,,,
LLVA61418,GAS SECURE SOLUTIONS (USA) INC,ARLINGTON,VA,22202,,,,
LLVA61419,SABER HEALTHCARE GROUP,LOCUST HILL,VA,23092,,,,
LLVA61420,PROLOGISTIX,WINCHESTER,VA,22601,,,,
LLVA61421,RICHMOND PREPARATORY CHRISTIAN ACADEMY,RICHMOND,VA,23223,,,,
LLVA61423,CENTER FOR COMPREHENSIVE MEDICINE,VIRGINIA BEACH,VA,23452,,,,
LLVA61424,OLD TOWN TAVERN,HAMPTON,VA,23663,,,,
LLVA61425,SUPER CONCRETE,MANASSAS,VA,20111,,,,
LLVA61426,WASHINGTON POST,WOODBRIDGE,VA,22193,,,,
LLVA61427,CEPHAS INDUSTRIES,RICHMOND,VA,23224,,,,
LLVA61428,CEPHAS INDUSTRIES,GLEN ALLEN,VA,23060,,,,
LLVA61429,LALIBELA ETHIOPIAN RESTARUANT,ARLINGTON,VA,22204,,,,
LLVA61430,FMI COMPLETE JANITOR SERVICES INC,MANASSAS,VA,20110,,,,
LLVA61431,STANMAN CONSTRUCTION AND REMODELING,VIRGINIA BEACH,VA,23455,,,,
LLVA61432,JES FOUNDATION REPAIR,CHESTER,VA,23831,,,,
LLVA61433,CHRISTINE MAI,ALEXANDRIA,VA,22309,,,,
LLVA61434,ZAIKA INDIAN RESTARUANT,ARLINGTON,VA,22201,,,,
LLVA61435,ADRENALINE STUDIO LLC,VIENNA,VA,22182,,,,
LLVA61436,DOMINION PACKAGING INC,RICHMOND,VA,23224,,,,
LLVA61437,N & D ROSE INC,CHATHAM,VA,24531,,,,
LLVA61438,N & D ROSE INC,CHATHAM,VA,24531,,,,
LLVA61439,SPORTS CLIPS IN SPRINGFIELD,SPRINGFIELD,VA,22150,,,,
LLVA61440,EDWARD GRAVES,LORTON,VA,22079,,,,
LLVA61443,CREATIVE HOME RENOVATIONS,AMELIA,VA,23002,,,,
LLVA61444,MISSION FOODS,VIRGINIA BEACH,VA,23456,,,,
LLVA61445,THE GREEN ONION,NORFOLK,VA,23517,,,,
LLVA61446,RENTERSHUB LLC,VIRGINIA BEACH,VA,23462,,,,
LLVA61447,JACKSON'S BEER GARDEN AND SMOKEHOUSE,RICHMOND,VA,23219,,,,
LLVA61449,QUIETLY RADIANT PSYCHIATRIC SERVICES,VIRGINIA BEACH,VA,23455,,,,
LLVA61450,BIG PLATE SERVICES,CHANTILLY,VA,20151,,,,
LLVA61451,ARCHITECTURAL DESIGN CONSULTANTS INC,LAKE DELTON,WI,53940,,,,
LLVA61452,DMV,MANASSAS,VA,20111,,,,
LLVA61453,TRIBLE'S INC,UPPER MARLBORO,MD,20774,,,,
LLVA61454,SUBWAY,CHESTER,VA,23831,,,,
LLVA61456,INTERIM HEALTHCARE,CHARLOTTESVILLE,VA,22911,,,,
LLVA61457,MID ATLANTIC TOURS & RECEPTIVE SERVICES,STEPHENS CITY,VA,22655,,,,
LLVA61458,QUALITY INN & SUITES,ABINGDON,VA,24210,,,,
LLVA61459,FIRST COAST SECURITY,CHANTILLY,VA,20151,,,,
LLVA61461,FIRST CLASS CONTRACTING,RICHMOND,VA,23224,,,,
LLVA61462,COMMUNITY DIRECT SERVICES,VIRGINIA BEACH,VA,23462,,,,
LLVA61463,MATTS LAWN CARE,WINCHESTER,VA,22603,,,,
LLVA61464,VIRGINIA STAFFING CHOICE,CHARLOTTESVILLE,VA,22903,,,,
LLVA61465,PERLA DEL VALLE,ARLINGTON,VA,22204,,,,
LLVA61466,R L ELLIOTT ENTERPRISES INC,CHARLES CITY,VA,23030,,,,
LLVA61467,JOHN VARSAN,BEDFORD,VA,24523,,,,
LLVA61468,LIVE LOVE LEARN,HOPEWELL,VA,23800,,,,
LLVA61469,SENIOR HEALTH CARE,RICHMOND,VA,23236,,,,
LLVA61470,FLEETMASTER EXPRESS,ROANOKE,VA,24012,,,,
LLVA61471,LEUMAS SECURITY SERVICES LLC,YORKTOWN,VA,23692,,,,
LLVA61472,AUGUSTINE ROOFING LLC,STERLING,VA,20166,,,,
LLVA61473,CYNTHIA MATTHEWS,RICHMOND,VA,23219,,,,
LLVA61474,MAIN EVENT TRANSPORTATION LLC,RICHMOND,VA,23224,,,,
LLVA61475,THE MADELINE CENTRE INC,LYNCHBURG,VA,24502,,,,
LLVA61477,AMAR PATEL,ABINGDON,VA,24210,,,,
LLVA61478,OLD TOWN TAVERN,HAMPTON,VA,23669,,,,
LLVA61479,TIDEWATER ROOFING,HAMPTON,VA,23661,,,,
LLVA61480,SPORTS CLIPS IN SPRINGFIELD,SPRINGFIELD,VA,22150,,,,
LLVA61481,VXL ENTERPRISES LLC,FREDERICKSBURG,VA,22401,,,,
LLVA61482,MORRIS CEPHAS,RICHMOND,VA,23224,,,,
LLVA61483,COLLABORAIT INC,FALLS CHURCH,VA,22046,,,,
LLVA61484,LESTER CRITTON,AMELIA,VA,23002,,,,
LLVA61485,GSA STAFFING,PETERSBURG,VA,23805,,,,
LLVA61486,ASHVIN PATEL,CHESTER,VA,23831,,,,
LLVA61487,BRILLIANT BEGINNINGS LEARNING CENTER,VIRGINIA BEACH,VA,23453,,,,
LLVA61488,BLUE RIDGE ARSENAL WINDING BROOK,ASHLAND,VA,23005,,,,
LLVA61489,CONCORD AUTOMOTIVE,CONCORD,VA,24538,,,,
LLVA61490,MORRIS CEPHAS,GLEN ALLEN,VA,23060,,,,
LLVA61491,"RICK RAHIM D.B.A. STERLING LASER TAG, LLC",STERLING,VA,20166,,,,
LLVA61492,COLD STONE CREAMERY,VIENNA,VA,22180,,,,
LLVA61493,AUNTIE ANNE'S,WAYNESBORO,VA,22980,,,,
LLVA61494,CONSOL PARTNERS,SANTA MONICA,CA,90401,,,,
LLVA61495,COMMUNITY DIRECT SERVICES,VIRGINIA BEACH,VA,23462,,,,
LLVA61496,NO BUSINESS NAME GIVEN,NA,NA,NA,,,,
LLVA61497,CBS SERVICE LLC,MISHAWAKA,IN,46544,,,,
LLVA61498,EMMITT WHITE,HAMPTON,VA,23661,,,,
LLVA61499,MIKE SCHREIBER,CHANTILLY,VA,20151,,,,
LLVA61500,TEDDI WALKER,FREDERICKSBURG,VA,22401,,,,
LLVA61501,THE ICING BAKERY,STAFFORD,VA,22554,,,,
LLVA61502,PERKINS MANAGEMENT SERVICE,CHARLOTTE,VA,28202,,,,
LLVA61506,COMMUNITY SUPERMARKET,RICHMOND,VA,23223,,,,
LLVA61508,ENGLISH FARMS LAWN & LANDSCAPE,LORTON,VA,22079,,,,
LLVA61509,KINGS DAUGHTERS COMMUNITY HEALTH & REHAB,STUANTON,VA,24401,,,,
LLVA61514,GAYATRI RAIKHY,FALLS CHURCH,VA,22046,,,,
LLVA61515,ROD ALEXANDER,LORTON,VA,22079,,,,
LLVA61517,"SIGN LANGUAGE PROFESSIONALS, INC",RICHMOND,VA,23242,,,,
LLVA61518,FAIRFAX TOWING AND RECOVERY,FAIRFAX,VA,22081,,,,
LLVA61519,BETTER HOMES AND GARDENS REAL ESTATE III,CHARLOTTESVILLE,VA,22901,,,,
LLVA61520,NATIONWIDE INVESTIGATION & SECURITY,HOUSTON,TX,77027,,,,
LLVA61521,JACKITE INC,VIRGINIA BEACH,VA,23456,,,,
LLVA61522,RICHMOND RESIDENTIAL SERVICES INC,RICHMOND,VA,23230,,,,
LLVA61523,LNL AGENCY,MARIETTA,GA,30062,,,,
LLVA61524,BLACKWELL AUTOMOTIVE,DANVILLE,VA,24541,,,,
LLVA61525,DIVINE BEHAVIORAL SERVICES,NEWPORT NEWS,VA,23606,,,,
LLVA61526,BLACK HAWK TRANSPORT LLC,PRINCE GEORGE,VA,23875,,,,
LLVA61527,SERVICE MASTER CLEANING,ELIZABETH CITY,NC,27909,,,,
LLVA61528,AFFINITY CARE PLUS INC,VIRGINIA BEACH,VA,23452,,,,
LLVA61529,MASSMUTUAL,VIRGINIA BEACH,VA,23462,,,,
LLVA61530,NEWINGTON BAPTIST CHURCH,GLOUCESTER,VA,23061,,,,
LLVA61531,QUALITY SERVICES MOVING,LORTON,VA,22079,,,,
LLVA61532,AUGUSTINE ROOFING LLC,STERLING,VA,20166,,,,
LLVA61533,ABILENE MOTOR EXPRESS,NORTH CHESTERFIELD,VA,23237,,,,
LLVA61535,AJ'S SPORTS GRILLE AND SMOKEHOUSE,NEWPORT NEWS,VA,23602,,,,
LLVA61536,RAMNEEK CHUDASAMA,VIENNA,VA,22180,,,,
LLVA61537,STEVE HOOD,PRINCE GEORGE,VA,23875,,,,
LLVA61538,FOREVER LIVING ASSISTANT,RICHMOND,VA,23223,,,,
LLVA61539,COMMUNITY DIRECT SERVICES,VIRGINIA BEACH,VA,23462,,,,
LLVA61542,MONARCH TRANSPORT INC,WILLIAMSBURG,VA,23188,,,,
LLVA61543,LIBERTY RIDGE,LYNCHBURG,VA,24502,,,,
LLVA61544,SWISS PORT INTERNATIONAL COMPANY,DULLES,VA,20166,,,,
LLVA61545,SAN-J INTERNATIONAL,HENRICO,VA,23231,,,,
LLVA61546,SOLIMAR BUILDERS,NA,NA,NA,,,,
LLVA61547,TIC SECURITY,GEITHSEBURG,MD,20877,,,,
LLVA61548,MATTS LAWN CARE,WINCHESTER,VA,22603,,,,
LLVA61549,UBON,STAUNTON,VA,22401,,,,
LLVA61550,IMPACT HOMES AND REMODELING,GLEN ALLEN,VA,23060,,,,
LLVA61551,DUNKIN DONUTS,VIRGINIA BEACH,VA,23451,,,,
LLVA61552,WISHING TREE LLC,ASHBURN,VA,20147,,,,
LLVA61553,R.L.L. CONSULTANTS,MCLEAN,VA,22102,,,,
LLVA61555,EAST COAST BUILDERS,NEWPORT NEWS,VA,23606,,,,
LLVA61556,NIGHTINGALE HOME HEALTHCARE SERVICES,CHESAPEAKE,VA,23320,,,,
LLVA61557,MAID SERVICE INCORPORATED,MIDLOTHIAN,VA,23112,,,,
LLVA61558,CV TRUCKING,STERLING,VA,20166,,,,
LLVA61559,VINCENT HARDY LAW FIRM,PETERSBURG,VA,23803,,,,
LLVA61560,G.L. SMITH COURIER,RICHMOND,VA,23225,,,,
LLVA61561,VERN'S PLUMBING,BEALETON,VA,22712,,,,
LLVA61562,FLUOR CRAFT HR SERVICES,GREENVILLE,SC,29607,,,,
LLVA61563,EURE INC,CHESAPEAKE,VA,23222,,,,
LLVA61564,PERKINS MANAGEMENT SERVICES CO.,CHARLOTTE,NC,28202,,,,
LLVA61565,COMFORT & CARE SERVICES LLC,VIRGINIA BEACH,VA,23452,,,,
LLVA61566,AUTO WORLD,BIG STONE GAP,VA,24219,,,,
LLVA61567,HEAVENLY HELPERS IN-HOME SERVICES,MECHANICSVILLE,VA,23111,,,,
LLVA61568,STEADFAST MEDICAL STAFFING,NORFOLK,VA,23513,,,,
LLVA61569,JOSH JC PAINTING,VIRGINIA BEACH,VA,23452,,,,
LLVA61572,AMANDA BOWLES,NEWPORT NEWS,VA,23602,,,,
LLVA61573,GROW & KNOW DAYCARE,COLONIAL HEIGHTS,VA,23834,,,,
LLVA61574,BATTLEFIELD FORD,MANASSAS,VA,20110,,,,
LLVA61575,WOODSTONE MEADOWS STABLE & PETTING FARM,MCGAHEYSVILLE,VA,22840,,,,
LLVA61577,BROOKSIDE RESTAURANT,LURAY,VA,22835,,,,
LLVA61578,STUART CONFECTIONS,STUART,FL,34996,,,,
LLVA61579,KMART,ANNANDALE,VA,22003,,,,
LLVA61580,POM KBF,ALEXANDRIA,VA,22312,,,,
LLVA61581,ABILENE MOTOR EXPRESS,N CHESTERFIELD,VA,23237,,,,
LLVA61582,TRITECH SERVICES,HOPEWELL,VA,23860,,,,
LLVA61583,STUART CONFECTIONS,STUART,VA,34996,,,,
LLVA61584,SPHERION STAFFING LLC,ATLANTA,GA,30339,,,,
LLVA61585,MARK CALCAGNI,VIRGINIA BEACH,VA,23462,,,,
LLVA61586,CARLOS VINCES,STERLING,VA,20166,,,,
LLVA61589,HEAVENLY HOME,VIRGINIA BEACH,VA,23452,,,,
LLVA61590,THE LOCK IN,NEWPORT NEWS,VA,23602,,,,
LLVA61591,MONARCH TRANSPORT INC,WILLIAMSBURG,VA,23188,,,,
LLVA61592,MCALISTERS DELI,FRONT ROYAL,VA,22630,,,,
LLVA61593,TODD BORAWSKI,MIDLOTHIAN,VA,23112,,,,
LLVA61594,HELPING HANDS FACILITATOR,SURRY,VA,23883,,,,
LLVA61595,KRISTOPHER GILBERT,FAIRFAX,VA,22031,,,,
LLVA61596,LIVE LOVE & LEARN,HOPEWELL,VA,23860,,,,
LLVA61597,DANIELLE GILBERT,FAIRFAX,VA,22031,,,,
LLVA61598,A.R.M. TRUCKING LLC,ASHBURN,VA,20148,,,,
LLVA61599,THE MIGHTY MOVER 1 LLC,NA,NA,NA,,,,
LLVA61600,MERCY SERVICES OF HEALTH INC,ALEXANDRIA,VA,22312,,,,
LLVA61601,DUCK DONUTS,CHARLOTTESVILLE,VA,22901,,,,
LLVA61602,LINDA HENSLEY,MCGAHEYSVILLE,VA,22840,,,,
LLVA61603,ODYSSEY COMMUNITY SERVICES,NEWPORT NEWS,VA,23606,,,,
LLVA61604,POSITIVE OUTLOOK LLC,RICHMOND,VA,23223,,,,
LLVA61605,THE MAD BOMBER COMPANY,WINCHESTER,VA,22602,,,,
LLVA61606,EDIBLE ARRANGEMENTS,COLONIAL HEIGHTS,VA,23860,,,,
LLVA61607,BY GRACE HOME HEALTHCARE,SUFFOLK,VA,23434,,,,
LLVA61608,CARLISLE LIVING LLC,VIRGINIA BEACH,VA,23464,,,,
LLVA61609,SHEEHY FORD,WARRENTON,VA,20187,,,,
LLVA61611,GIANT FOOD,ANNANDALE,VA,22003,,,,
LLVA61613,THE LOCK-IN,NEWPROT NEWS,VA,23602,,,,
LLVA61614,GG ASHBURN LLC,ASHBURN,VA,20147,,,,
LLVA61615,CARLISLE LIVING LLC,VIRGINIA BEACH,VA,23464,,,,
LLVA61616,US FITNESS HOLDINGS LLC,MCLEAN,VA,22102,,,,
LLVA61617,THE CROSSINGS ON THE PENINSULA,YORKTOWN,VA,23693,,,,
LLVA61618,COMMUNITY HOUSING PARTNERS CORPORATION,CHRISTIANBURG,VA,22443,,,,
LLVA61619,HERITAGE GARDENS TREE & LAWN CARE,POQUOSON,VA,23662,,,,
LLVA61620,L & K RECOVERY,MANASSAS,VA,20110,,,,
LLVA61621,KE JAE'H ENTERPRISES,SOUTH BOSTON,VA,24592,,,,
LLVA61622,MORE SOLUTIONS YOUTH AND FAMILY LLC,SANDSTON,VA,23150,,,,
LLVA61624,LIGHTING MAINTENANCE INC,LINTHICUM HEIGHTS,MD,21090,,,,
LLVA61625,CID JANITORIAL SERVICE,VIRGINIA BEACH,VA,23467,,,,
LLVA61627,REBECCA JOHNSON,CHARLOTTEVILLE,VA,22901,,,,
LLVA61628,CROSSROADS TREATMENT CENTERS,PRINCE GEORGE,VA,23875,,,,
LLVA61629,DAYS INN,HARRISONBURG,VA,22801,,,,
LLVA61630,WAL MART,VIRGINIA BEACH,VA,23462,,,,
LLVA61631,EDIBLE ARRANGEMENTS,COLONIAL HEIGHTS,VA,23834,,,,
LLVA61632,SECURAMERICA,RESTON,VA,21091,,,,
LLVA61633,OLD DOMINION FOOT WEAR,MADISON HEIGHTS,VA,24572,,,,
LLVA61634,COMFORTABLE CLIMATE HEATING & AIR CONDITIONING,GLOUCESTER,VA,23061,,,,
LLVA61635,POTS & PLANTS ON THE PIKE,GREAT FALLS,VA,22066,,,,
LLVA61636,MAYS LOGISTICS,ASHLAND,VA,23005,,,,
LLVA61638,PERKINS MANAGEMENT SERVICES,CHARLOTTE,NC,28202,,,,
LLVA61639,KNIGHTS INN,VIRGINIA BEACH,VA,23456,,,,
LLVA61640,VILLA RICA TRUCKING,LEESBURG,VA,20175,,,,
LLVA61641,BEST WESTERN HOTEL,STRASBURG,VA,22657,,,,
LLVA61642,BEST WESTERN HOTEL,STRASBURG,VA,22657,,,,
LLVA61644,NEW DIRECTIONS CENTER INC,STAUNTON,VA,24402,,,,
LLVA61645,NORTHERN VIRGINIA KITCHEN BATH & BASEMENT,CHANTILLY,VA,20151,,,,
LLVA61646,BOJANGLES,RICHMOND,VA,23116,,,,
LLVA61647,SOUTHERN AUTO GROUP,CHESAPEAKE,VA,23320,,,,
LLVA61648,THE SOUTHWEST TIMES,PULASKI,VA,24301,,,,
LLVA61649,MAIN EVENT TRANSPORTATION LLC,RICHMOND,VA,23224,,,,
LLVA61650,SUPPORTED EMPLOYMENT OF VIRGINIA,RICHMOND,VA,23230,,,,
LLVA61651,EMERALD STONE GRILLE,LYNCHBURG,VA,24504,,,,
LLVA61652,THE UPS STORE,BON AIR,VA,23235,,,,
LLVA61653,MICHAELIS INC,GAINESVILLE,VA,20155,,,,
LLVA61654,ADVANCED SPINE & PAIN LLC,STAFFORD,VA,22554,,,,
LLVA61655,C & C UNDERGROUND CONSTRUCTION CO,NA,NA,NA,,,,
LLVA61657,CHKD THRIFT STORE,NEWPORT NEWS,VA,23608,,,,
LLVA61658,SAN-J INTERNATIONAL,RICHMOND,VA,23231,,,,
LLVA61659,ENVOY OF STAUNTON,STAUNTON,VA,24401,,,,
LLVA61660,RICK'S & ASSOCIATES LLC,RICHMOND,VA,23230,,,,
